bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Closure_139,1,3,0.9023,0.5081,0.0000,0.4584
Closure_139,2,3,0.9349,0.5081,0.0000,0.4750
Closure_140,0,1,0.9836,0.3839,0.0000,0.3776
Closure_140,0,2,0.9829,0.5389,0.0000,0.5297
Closure_140,1,2,0.9178,0.3839,0.0000,0.3523
Closure_141,0,1,0.9753,1.0000,0.3333,0.5418
Closure_141,0,2,0.9809,1.0000,0.3333,0.5449
Closure_141,1,2,0.9437,0.2000,0.0000,0.1887
Closure_142,0,1,0.9631,1.0000,0.4286,0.5962
Closure_142,0,2,1.0000,1.0000,0.4286,0.6190
Closure_142,1,2,1.0000,0.2939,0.0000,0.2939
Closure_143,0,1,0.9440,1.0000,0.3333,0.5244
Closure_144,0,1,0.9898,0.3115,0.0000,0.3084
Closure_144,0,2,0.9906,0.1966,0.0000,0.1947
Closure_144,0,3,0.9765,0.7484,0.0000,0.7308
Closure_144,0,4,0.9743,1.0000,0.3333,0.5413
Closure_144,0,5,1.0000,1.0000,0.3333,0.5556
Closure_144,0,6,1.0000,1.0000,0.3333,0.5556
Closure_144,0,7,0.9847,1.0000,0.5714,0.7034
Closure_144,0,8,1.0000,1.0000,0.5714,0.7143
Closure_144,1,2,0.9830,0.1966,0.0000,0.1932
Closure_144,1,3,0.9963,0.7484,0.0000,0.7456
Closure_144,1,4,0.9622,1.0000,0.3333,0.5346
Closure_144,1,5,0.9999,1.0000,0.3333,0.5555
Closure_144,1,6,0.9999,1.0000,0.3333,0.5555
Closure_144,1,7,0.9878,1.0000,0.5714,0.7056
Closure_144,1,8,0.9951,1.0000,0.5714,0.7108
Closure_144,2,3,1.0000,0.7274,0.0000,0.7274
Closure_144,2,4,1.0000,1.0000,0.3333,0.5556
Closure_144,2,5,1.0000,1.0000,0.3333,0.5556
Closure_144,2,6,1.0000,1.0000,0.3333,0.5556
Closure_144,2,7,0.9998,1.0000,0.5714,0.7142
Closure_144,2,8,1.0000,1.0000,0.5714,0.7143
Closure_144,3,4,0.9743,1.0000,0.3333,0.5413
Closure_144,3,5,0.9838,1.0000,0.3333,0.5466
Closure_144,3,6,0.9838,1.0000,0.3333,0.5466
Closure_144,3,7,0.9672,1.0000,0.5714,0.6909
Closure_144,3,8,0.9800,1.0000,0.5714,0.7000
Closure_144,4,5,0.9860,0.8198,0.0000,0.8084
Closure_144,4,6,0.9860,0.6907,0.0000,0.6811
Closure_144,4,7,0.9836,1.0000,0.5714,0.7026
Closure_144,4,8,0.9800,1.0000,0.5714,0.7000
Closure_144,5,6,0.0000,0.8443,0.0000,0.0000
Closure_144,5,7,0.9862,1.0000,0.5714,0.7044
Closure_144,5,8,1.0000,1.0000,0.5714,0.7143
Closure_144,6,7,0.9862,1.0000,0.5714,0.7044
Closure_144,6,8,1.0000,1.0000,0.5714,0.7143
Closure_144,7,8,0.9920,1.0000,0.2857,0.5196
Closure_147,0,1,0.9552,1.0000,0.3333,0.5307
Closure_148,0,1,0.9766,1.0000,0.3333,0.5426
Closure_148,0,2,0.9741,1.0000,0.3333,0.5412
Closure_148,0,3,0.9976,1.0000,0.3333,0.5542
Closure_148,0,4,0.9736,1.0000,0.3333,0.5409
Closure_148,0,5,0.9948,1.0000,0.3333,0.5527
Closure_148,0,6,1.0000,1.0000,0.3333,0.5556
Closure_148,0,7,0.9905,1.0000,0.3333,0.5503
